Index,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire Alarm
9339,1654742670,-5.104,58.73,608,539,12872,19655,939.236,2.26,2.35,15.57,2.428,0.055,9339,1
57245,1655124667,25.649,43.91,50,409,12826,20718,937.584,2.47,2.56,16.99,2.649,0.06,359,0
59040,1655126462,-5.06,42.3,165,445,12767,20562,937.339,1.75,1.82,12.06,1.88,0.042,2154,0
55876,1654716921,44.12,17.77,7,400,13575,21155,936.827,0.92,0.96,6.36,0.993,0.022,4734,0
21145,1654754476,0.62,47.55,1343,405,12951,19393,938.689,2.32,2.41,15.96,2.489,0.056,21145,1
28405,1654764754,19.89,60.74,285,400,13135,19923,939.664,1.54,1.6,10.57,1.648,0.037,3411,1
12839,1654746170,20.803,53.29,1040,545,12834,19471,938.904,2.08,2.17,14.35,2.237,0.051,12839,1
56852,1654717897,44.21,17.21,503,400,13801,20696,936.691,0.78,0.81,5.35,0.835,0.019,5710,0
14466,1654747797,15.417,49.69,1122,447,12863,19450,938.913,2.28,2.37,15.7,2.448,0.055,14466,1
55588,1654716633,48.38,23.24,14132,552,12736,19061,936.902,0.93,0.97,6.4,0.998,0.023,4446,0
26524,1654762873,15.35,55.98,24,400,13104,19999,939.671,0.62,0.64,4.26,0.665,0.015,1530,0
57030,1655124452,26.109,44.2,21,400,12867,20764,937.57,2.16,2.24,14.85,2.316,0.052,144,0
44663,1654781012,24.58,53.42,1199,400,12928,19426,938.712,1.5,1.56,10.32,1.61,0.036,19669,1
13250,1654746581,20.527,52.89,1126,529,12837,19450,938.9,1.86,1.93,12.81,1.998,0.045,13250,1
4768,1654738099,-7.154,47.92,17,400,13265,20200,939.649,2.45,2.54,16.83,2.625,0.059,4768,1
25714,1654762063,12.76,52.96,25,400,12906,19852,939.78,0.27,0.28,1.83,0.285,0.006,720,0
13843,1654747174,18.461,52.22,1172,523,12840,19438,938.894,2.28,2.37,15.71,2.45,0.055,13843,1
44246,1654780595,24.54,53.57,1218,402,12919,19423,938.701,1.43,1.48,9.81,1.53,0.035,19252,1
57953,1655125375,-6.336,40.71,88,400,12788,20657,937.507,1.9,1.97,13.07,2.038,0.046,1067,0
60111,1655127533,17.553,42.37,178,414,12775,20529,937.376,1.71,1.77,11.75,1.832,0.041,3225,0
25351,1654761700,13.87,50.41,15,400,12696,19737,939.803,0.08,0.11,0.48,0.114,0.026,357,0
774,1654734105,26.719,49.87,26,400,12932,19870,939.775,0.24,0.25,1.65,0.257,0.006,774,0
5626,1654738957,-9.229,54.79,49,400,13243,20199,939.753,2.27,2.36,15.65,2.441,0.055,5626,1
16952,1654750283,14.096,47.94,1251,435,12882,19420,938.768,1.58,1.65,10.91,1.701,0.038,16952,1
26314,1654762663,17.4,49.24,0,400,13107,19997,939.721,0.49,0.51,3.4,0.53,0.012,1320,0
50646,1654903663,40.67,13.83,0,855,13169,20656,930.919,1.14,1.18,7.84,1.222,0.028,658,1
16087,1654749418,12.16,49.57,1149,401,12885,19443,938.773,1.97,2.05,13.56,2.114,0.048,16087,1
32377,1654768726,20.85,50.5,262,400,13130,20007,939.499,0.64,0.66,4.38,0.683,0.015,7383,1
47533,1654783882,24.82,52.2,1373,420,12961,19384,938.757,1.93,2.01,13.29,2.073,0.047,22539,1
57152,1655124574,27.037,42.91,19,400,12847,20762,937.6,1.76,1.82,12.08,1.884,0.043,266,0
2656,1654735987,15.758,51.33,58,400,13201,20112,939.661,1.01,1.05,6.98,1.088,0.025,2656,0
16061,1654749392,12.134,52.19,1208,432,12870,19423,938.8,1.76,1.83,12.09,1.886,0.043,16061,1
8855,1654742186,-5.149,55.24,358,400,13067,19906,939.288,0.36,0.37,2.46,0.384,0.009,8855,1
19462,1654752793,20.021,47.71,1226,404,12924,19432,938.658,1.7,1.76,11.68,1.821,0.041,19462,1
6231,1654739562,-7.941,55.2,175,400,13164,20084,939.659,0.99,1.03,6.83,1.065,0.024,6231,1
41821,1654778170,27.06,47.36,1147,400,12893,19448,938.773,1.4,1.45,9.63,1.502,0.034,16827,1
14031,1654747362,17.572,53.04,1065,488,12848,19460,938.9,1.54,1.6,10.61,1.655,0.037,14031,1
58004,1655125426,-7.705,41.31,96,400,12786,20650,937.485,1.88,1.95,12.94,2.018,0.046,1118,0
34493,1654770842,21.91,63.61,651,690,12795,19605,939.152,2.4,2.49,16.5,2.574,0.058,9499,1
50645,1654903662,40.67,13.78,0,732,13237,20658,930.908,1.12,1.16,7.69,1.199,0.027,657,1
50480,1654903497,41.1,14.34,436,5350,12228,19679,930.928,1.73,1.79,11.88,1.852,0.042,492,1
49838,1654786187,26.13,51.99,1320,406,12996,19406,938.86,1.73,1.8,11.89,1.855,0.042,24844,1
58444,1655125866,-6.048,44.89,85,400,12782,20640,937.428,1.8,1.87,12.41,1.935,0.044,1558,0
27608,1654763957,20.67,46.89,54,400,13206,20115,939.642,0.91,0.94,6.25,0.975,0.022,2614,0
48601,1654784950,26.98,47.81,1310,400,12980,19400,938.721,1.65,1.72,11.38,1.775,0.04,23607,1
32106,1654768455,19.2,52.2,257,400,13120,20003,939.548,0.51,0.53,3.53,0.55,0.012,7112,1
23472,1654756803,-20.881,48.91,1354,410,12975,19390,938.706,2.09,2.17,14.36,2.239,0.051,23472,1
2182,1654735513,20.88,53.26,0,400,13209,20144,939.592,0.91,0.94,6.26,0.975,0.022,2182,0
4418,1654737749,-4.562,51.29,91,400,13231,20120,939.678,2.1,2.18,14.45,2.253,0.051,4418,1
60180,1655127602,16.06,43.26,224,457,12753,20495,937.396,1.85,1.92,12.7,1.981,0.045,3294,0
9212,1654742543,-5.21,56.1,423,471,12912,19844,939.211,1.55,1.61,10.68,1.665,0.038,9212,1
33277,1654769626,20.92,50.32,322,400,13104,19936,939.394,0.36,0.38,2.5,0.389,0.009,8283,1
41939,1654778288,27.04,47.37,1145,400,12895,19451,938.766,1.48,1.54,10.2,1.59,0.036,16945,1
10120,1654743451,-2.116,50.79,871,714,12773,19512,939.11,2.37,2.46,16.3,2.542,0.057,10120,1
55438,1654716483,43.17,29.1,5263,400,13047,19634,936.889,0.76,0.79,5.23,0.815,0.018,4296,0
22220,1654755551,-15.879,48.05,1321,400,12965,19393,938.702,1.96,2.04,13.49,2.103,0.047,22220,1
